parcela_id,idade,hdom,Ht_estimado,Fator,1,2,3,4,5,classificação,reclass,Classe,IS
9,5,24.996,23.14589004392946,1.0799325475304318,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,2.0,,2,27.771810652482515
9,6,25.996,23.929486354640673,1.086358462306006,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,2.0,2.0,2,27.771810652482515
10,3,17.636,16.0742499730199,1.097158500682859,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,2.0,,1,30.771810652482515
10,4,25.616,21.0528630099439,1.2167466243380196,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,1.0,,1,30.771810652482515
10,5,27.998,23.14589004392946,1.209631599686231,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,1.0,,1,30.771810652482515
10,6,29.118,23.929486354640673,1.2168251156111052,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,1.0,1.0,1,30.771810652482515
11,3,18.07,16.0742499730199,1.124158205224499,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,2.0,,2,27.771810652482515
11,4,24.806,21.0528630099439,1.1782720472879809,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,2.0,,2,27.771810652482515
11,5,27.11,23.14589004392946,1.1712662571431431,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,2.0,,2,27.771810652482515
11,6,28.195,23.929486354640673,1.1782534560977784,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,2.0,2.0,2,27.771810652482515
12,3,16.717,16.0742499730199,1.0399863152594326,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,3,24.771810652482515
12,4,22.682,21.0528630099439,1.0773831563567677,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,2.0,,3,24.771810652482515
12,5,24.786,23.14589004392946,1.0708596624695665,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,3.0,,3,24.771810652482515
12,6,25.778,23.929486354640673,1.0772483628759897,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,2.0,3.0,3,24.771810652482515
13,3,16.676,16.0742499730199,1.037435651927158,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,3,24.771810652482515
13,4,21.35,21.0528630099439,1.0141138518744817,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,3.0,,3,24.771810652482515
13,5,23.331,23.14589004392946,1.0079975302621422,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,3.0,,3,24.771810652482515
